,store,sido-gu,address,phone
0,창원팔용점,경남 창원시 의창구,경상남도 창원시 의창구 창원대로18번길 6-8 (팔용동) 할리스 창원팔용점,.
1,동해묵호점,강원 동해시,"강원특별자치도 동해시 해안로 368 (평릉동, 할리스커피) 1~3층",033-534-8902
2,충남도청점,충남 홍성군,충청남도 홍성군 홍북읍 청사로174번길 25 (성원타워) .,041-631-4725
3,동아대 인문대점,부산 사하구,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교) S01 인문대 카페",051-200-6165
4,경상대 느티마루점,경남 진주시,"경상남도 진주시 진주대로 501 (가좌동, 경상국립대학교가좌캠퍼스) .",.
5,경북대 크누라운지점,대구 북구,"대구광역시 북구 대학로 80 (산격동, 경북대학교) .",.
6,국민대 성곡도서관점,서울 성북구,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) 도서관 지하1층",02-910-4954
7,atti-C 2023점,광주 북구,"광주광역시 북구 용봉로 77 (용봉동, 전남대학교) .",062-530-0040
8,경희대 경영대점,서울 동대문구,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,.
9,광주상무점,광주 서구,"광주광역시 서구 상무연하로 16 (치평동, 스마일빌딩) 1층 109호",062-371-7778
